id,domain,domain_name,item,tier,net_pd,start_q,end_q,squad,depends_on,notes
D3.1,D3,Dynamic Routing,"linux-cp / linux-nl hardening: interface pairs, state/MTU sync, VRF mapping, IPv6, full-table performance",T1,90,3,4,S2,D1.2,"CRITICAL PATH - prototype in Q3, not Q5"
D3.2,D3,Dynamic Routing,"FRR lifecycle: renderer framework, JSON state readers, safe reload, dry-run",T1,60,4,4,S2,D3.1,
D3.3,D3,Dynamic Routing,"BGP: core, AFI/SAFI v4/v6, communities, route-maps, prefix-lists, AS-path filters, peer-groups, RR, confederation, graceful restart, BGP Roles (RFC 9234), add-path, VPNv4/VPNv6",T1,140,4,5,S2,D3.2,
D3.4,D3,Dynamic Routing,OSPFv2,T1,55,5,5,S2,D3.2,
D3.5,D3,Dynamic Routing,OSPFv3,T2,40,8,8,S2,D3.2,
D3.6,D3,Dynamic Routing,IS-IS,T2,45,7,7,S2,D3.2,
D3.7,D3,Dynamic Routing,RIPv2 / RIPng,T2,25,8,8,S2,D3.2,
D3.8,D3,Dynamic Routing,BFD (native VPP plugin + FRR integration),T1,35,5,5,S2,D3.2,
D3.9,D3,Dynamic Routing,Policy-based routing in API/UI,T2,20,6,6,S2,D2.7,
D3.10,D3,Dynamic Routing,Redistribution matrix and route-policy UX,T1,30,5,6,S2,D3.3,
D4.1,D4,NAT & CGNAT,"NAT44-ED: sessions, pools, twice-NAT, port-forward, 1:1, interface NAT, hairpinning, session helpers/ALGs",T1,90,3,4,S3,D2.2,
D4.2,D4,NAT & CGNAT,NAT44-EI,T2,25,7,7,S3,D4.1,
D4.3,D4,NAT & CGNAT,"NAT64, NAT66, NPTv6",T2,50,8,8,S3,D4.1,
D4.4,D4,NAT & CGNAT,DET44 deterministic CGNAT + CGNAT logging/IPFIX,T2,45,7,7,S3,D4.1,
D4.5,D4,NAT & CGNAT,"DS-Lite, MAP-E, MAP-T, LW4o6 BR, 464XLAT",T2,75,7,8,S3,D4.3,
D4.6,D4,NAT & CGNAT,"CNAT: policy 1:1, SNAT/DNAT policy (new in 26.06), load-balanced translation",T2,45,8,8,S3,D4.1,
D4.7,D4,NAT & CGNAT,Session browser at 1M+ scale with server-side filter and kill-session,T1,35,4,4,S3,D4.1,
D5.1,D5,Firewall & ACL,"Object model: addresses, groups, FQDN, services, schedules, zones, tags",T1,50,4,5,S4,D0.8,
D5.2,D5,Firewall & ACL,"ACL plugin: L2 MACIP, L3/L4 stateless and stateful, per-interface in/out, hit counters",T1,70,5,5,S3,D5.1,
D5.3,D5,Firewall & ACL,Host/local-in ACL for management-plane protection + nftables host firewall,T1,30,6,6,S3,D5.2,
D5.4,D5,Firewall & ACL,"Rule editor UI for 100,000 rules (virtualised, CSV bulk, reorder, search)",T1,60,6,6,S5,D5.2,
D5.5,D5,Firewall & ACL,ADL / Auto-SDL integration,T3,15,10,10,S3,D5.2,Largely covered by ACLs
D5.6,D5,Firewall & ACL,Stateful policy state synchronisation for HA (TNSR VPF state sync equivalent),T2,45,8,8,S3,D9.2,
D6.1,D6,VPN & Tunnels,"IPsec core: SA/SPD, tunnel and transport mode, ESP/AH, async crypto, native/ipsecmb/openssl engines, QAT offload",T1,80,3,3,S3,D1.3,
D6.2,D6,VPN & Tunnels,"strongSwan + kernel-vpp/socket-vpp, swanctl.conf renderer, IKEv1/IKEv2, full cipher and DH 1-24/31 matrix, NAT-T, DPD, MOBIKE",T1,100,3,4,S3,D6.1,
D6.3,D6,VPN & Tunnels,Native VPP IKEv2 plugin path + 26.06 crypto enhancements,T2,40,10,10,S3,D6.1,Alternative to strongSwan for responder-only cases
D6.4,D6,VPN & Tunnels,"PKI: CA, CSR, import/export, CRL/OCSP, ACME, expiry alerts, PKCS#11/HSM",T1,60,7,7,S3,D6.2,
D6.5,D6,VPN & Tunnels,WireGuard,T1,35,7,7,S3,D6.1,
D6.6,D6,VPN & Tunnels,"Tunnels: GRE (L2/L3), IPIP, VXLAN, VXLAN-GPE, GTP-U, L2TPv3, PPPoE, Tunnel Infra, Packet Vector Tunnel",T1,90,4,7,S3,D2.2,GTP-U/L2TPv3/PPPoE are T3-value; schedule last
D6.7,D6,VPN & Tunnels,"SRv6: core, network programming, service chaining proxies, SRv6-mobile GTP functions",T3,110,9,10,S3,D2.8,Only large mobile operators need this
D6.8,D6,VPN & Tunnels,LISP and LISP-GPE,T3,40,10,10,S3,D2.2,Effectively dead technology
D6.9,D6,VPN & Tunnels,Remote-access VPN: IKEv2 + EAP + client pools (optional OpenVPN/SSL-VPN),T2,60,9,9,S3,D6.4,
D6.10,D6,VPN & Tunnels,"Tunnel dashboards, SA/SPI inspection, rekey history, per-tunnel telemetry",T1,35,6,6,S5,D6.2,
D7.1,D7,"Services, QoS & Host Stack","Kea DHCPv4/v6 server, reservations, option sets, lease DB and UI",T1,60,4,5,S4,D1.3,
D7.2,D7,"Services, QoS & Host Stack",DHCP relay/proxy (VPP plugin) + DHCP client,T1,30,4,5,S4,D7.1,
D7.3,D7,"Services, QoS & Host Stack",DNS: Unbound resolver/forwarder/DNSSEC/views + VPP caching DNS plugin,T1,50,4,5,S4,D1.3,
D7.4,D7,"Services, QoS & Host Stack","NTP via chrony (client/server), optional PTP",T1,25,5,5,S4,D0.9,
D7.5,D7,"Services, QoS & Host Stack",SNMP v2c/v3 via net-snmp + private MIB,T2,45,6,6,S4,D0.12,
D7.6,D7,"Services, QoS & Host Stack",IPFIX/NetFlow (flowprobe) + sFlow,T2,50,8,8,S1,D0.12,
D7.7,D7,"Services, QoS & Host Stack",Syslog export + log explorer,T1,35,9,9,S4,D0.12,
D7.8,D7,"Services, QoS & Host Stack","QoS: policer, shaper, QoS record/map/mark, DSCP/dot1p, hierarchical HQoS, per-interface queues",T2,85,7,8,S1,D1.2,
D7.9,D7,"Services, QoS & Host Stack",Load Balancer plugin (GRE/NAT/L3DSR/maglev),T3,40,10,10,S1,D4.1,Solved outside the product by HAProxy/nginx
D7.10,D7,"Services, QoS & Host Stack","Host Stack: session layer, TCP/UDP tuning, VCL, TLS engines, QUIC/quicly, HTTP static server, HTTP/3 CONNECT + UDP proxying, SRTP, HSI",T3,130,10,11,S1,D0.7,No router customer asks for this
D7.11,D7,"Services, QoS & Host Stack",Packet generator (PG) + pcap tooling in UI,T2,25,7,7,S1,D8.2,
D8.1,D8,Observability & Ops,"Dashboard, charts, per-worker CPU, queue/buffer stats, buffers monitoring, buffer metadata tracker",T1,60,3,6,S5,D0.12,
D8.2,D8,Observability & Ops,"Packet capture: pcap rx/tx/drop, BPF Trace Filter, trace node, Trace Path plugin (new 26.06), G2 export",T1,55,7,8,S1,D0.7,
D8.3,D8,Observability & Ops,Prometheus exporter (VPP prom plugin + own metrics) + Grafana dashboards,T1,35,6,6,S4,D0.12,
D8.4,D8,Observability & Ops,"Event and alarm engine, thresholds, email/webhook/SNMP traps",T1,45,4,5,S4,D0.12,
D8.5,D8,Observability & Ops,"Backup/restore, scheduled export, config templates, bulk provisioning",T1,40,5,5,S4,D0.8,
D8.6,D8,Observability & Ops,Support bundle / sysdump,T1,20,9,9,S6,D0.12,
D8.7,D8,Observability & Ops,Upgrade UI and staged rollout,T1,25,6,6,S5,D0.5,
D8.8,D8,Observability & Ops,RESTCONF/NETCONF compatibility layer + YANG models,T2,90,7,8,S4,D0.8,Needed for TNSR API parity
D8.9,D8,Observability & Ops,"Terraform provider, Ansible collection, Python SDK",T2,55,10,10,S4,D0.8,
D9.1,D9,High Availability,VRRPv3 (native VPP plugin) + keepalived path,T1,45,6,6,S1,D1.3,
D9.2,D9,High Availability,"Config synchronisation between peers, cluster membership",T1,50,6,7,S4,D0.8,
D9.3,D9,High Availability,State sync: NAT/ACL sessions and IPsec SAs,T2,60,8,8,S3,D9.2,
D9.4,D9,High Availability,Failover test automation and convergence tuning,T1,30,8,8,QA,D9.3,
D9.5,D9,High Availability,Cluster view in UI,T2,25,8,8,S5,D9.2,
D10.1,D10,Multi-tenancy & AAA,"VDOM/tenant model, per-tenant RBAC and API scoping",T2,70,10,11,S4,D0.9,Changes the data model - decide in Q1 whether it is in scope
D10.2,D10,Multi-tenancy & AAA,"AAA: RADIUS, TACACS+, LDAP, SAML, OIDC + MFA",T2,55,9,9,S4,D0.9,
D11.1,D11,Cloud & Virtualization,"Cloud images AWS/Azure/GCP + marketplace, cloud-init, ENA/Hyper-V drivers, cloud routing integration",T2,90,10,11,S6,D0.3,
D11.2,D11,Cloud & Virtualization,KVM/VMware/Hyper-V/Proxmox images + SR-IOV and PCI passthrough,T1,40,9,9,S6,D0.3,
D12.1,D12,"Hardening, QA, Docs & Release","CIS hardening, secure boot, package signing, offline (air-gapped) update bundle",T1,60,11,11,S6,D0.4,
D12.2,D12,"Hardening, QA, Docs & Release",Licensing and entitlement enforcement,T1,40,11,11,S4,D0.9,
D12.3,D12,"Hardening, QA, Docs & Release",Independent penetration test + remediation,T1,45,12,12,QA,D12.1,
D12.4,D12,"Hardening, QA, Docs & Release",Full user documentation (~400 pages) + CLI reference + API reference,T1,120,9,12,Writer,,Technical writer from M12
D12.5,D12,"Hardening, QA, Docs & Release","QA: regression suite growth, nightly topology, perf CI, interop matrix (Cisco/Juniper/FortiGate/strongSwan/AWS VGW)",T1,160,4,12,QA,D0.13,Continuous from Q4 to GA
D12.6,D12,"Hardening, QA, Docs & Release","Soak and chaos: kill -9, link flap, 72h at line rate",T1,50,11,12,QA,D12.5,
D12.7,D12,"Hardening, QA, Docs & Release",Certification preparation (Common Criteria / local standards),T2,60,11,12,S6,D12.1,Get the requirement list before end of Q2
