Issue Type,Summary,Description,Epic Name,Epic Link,Labels,Labels,Labels,Original Estimate,Component,Due Date
Story,"[D0.13] Test infra: containerlab/QEMU lab, Robot Framework, TRex harness, Playwright","Test infra: containerlab/QEMU lab, Robot Framework, TRex harness, Playwright

Depends on: D0.1

Estimate: 70 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q1-Q2. Owning squad: QA / Lab.",,D0 Foundation & Platform,T1,D0,QA,560h,QA / Lab,2027-03-31
Story,"[D1.1] NIC inventory and driver binding: dpdk, rdma, af_xdp, af_packet, vmxnet3, virtio, vhost-user, tap-v2, netmap, memif, pipe, Marvell mGig","NIC inventory and driver binding: dpdk, rdma, af_xdp, af_packet, vmxnet3, virtio, vhost-user, tap-v2, netmap, memif, pipe, Marvell mGig

Depends on: D0.6

Note: Fix a supported-hardware matrix; refuse 'any NIC'

Estimate: 70 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q3. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,560h,Dataplane & Agent,2027-06-30
Story,"[D1.2] Interface basics: admin state, MTU, MAC, promisc, rx-mode, rx/tx queues, worker placement","Interface basics: admin state, MTU, MAC, promisc, rx-mode, rx/tx queues, worker placement

Depends on: D0.7

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q2. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,280h,Dataplane & Agent,2027-03-31
Story,[D1.3] IPv4/IPv6 addressing + IP unnumbered,"IPv4/IPv6 addressing + IP unnumbered

Depends on: D1.2

Estimate: 20 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q2. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,160h,Dataplane & Agent,2027-03-31
Story,[D1.4] 802.1q sub-interfaces + QinQ/802.1ad stacking,"802.1q sub-interfaces + QinQ/802.1ad stacking

Depends on: D1.2

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q2. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,200h,Dataplane & Agent,2027-03-31
Story,"[D1.5] Bonding: LACP, XOR, round-robin, active-backup","Bonding: LACP, XOR, round-robin, active-backup

Depends on: D1.2

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q3. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,240h,Dataplane & Agent,2027-06-30
Story,"[D1.6] L2: bridge domains, cross-connect, L2XC, L3XC, split-horizon, MAC aging, time-range MAC filter","L2: bridge domains, cross-connect, L2XC, L3XC, split-horizon, MAC aging, time-range MAC filter

Depends on: D1.2

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q2-Q3. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,360h,Dataplane & Agent,2027-06-30
Story,[D1.7] LLDP,"LLDP

Depends on: D1.2

Estimate: 12 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q3. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T2,D1,S1,96h,Dataplane & Agent,2027-06-30
Story,"[D1.8] VNET GSO, checksum offload, jumbo frames","VNET GSO, checksum offload, jumbo frames

Depends on: D1.2

Estimate: 20 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q4. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,160h,Dataplane & Agent,2027-09-30
Story,[D1.9] Network Delay Simulator (nsim),"Network Delay Simulator (nsim)

Depends on: D1.2

Note: Test tool, not a product feature

Estimate: 8 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q10. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T3,D1,S1,64h,Dataplane & Agent,2029-03-31
Story,[D1.10] SPAN / ERSPAN mirroring,"SPAN / ERSPAN mirroring

Depends on: D1.6

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q7. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T2,D1,S1,200h,Dataplane & Agent,2028-06-30
Story,[D1.11] Loopback / BVI interfaces,"Loopback / BVI interfaces

Depends on: D1.6

Estimate: 10 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q3. Owning squad: Dataplane & Agent.",,D1 Interfaces & L2,T1,D1,S1,80h,Dataplane & Agent,2027-06-30
Story,[D2.1] VRF/table management + Source VRF Select,"VRF/table management + Source VRF Select

Depends on: D1.3

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q3. Owning squad: Routing & L3.",,"D2 L3, MPLS & Multicast",T1,D2,S2,240h,Routing & L3,2027-06-30
Story,"[D2.2] Static routes v4/v6, ECMP, weighted paths, DPO/adjacency view","Static routes v4/v6, ECMP, weighted paths, DPO/adjacency view

Depends on: D2.1

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q3. Owning squad: Routing & L3.",,"D2 L3, MPLS & Multicast",T1,D2,S2,280h,Routing & L3,2027-06-30
Story,"[D2.3] Neighbour DB: ARP, ND, proxy-ND, IPv6 RA, IPv6 DAD (new in 26.06)","Neighbour DB: ARP, ND, proxy-ND, IPv6 RA, IPv6 DAD (new in 26.06)

Depends on: D1.3

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q3. Owning squad: Dataplane & Agent.",,"D2 L3, MPLS & Multicast",T1,D2,S1,240h,Dataplane & Agent,2027-06-30
Story,"[D2.4] RPF strict/loose, ADL allow/deny lists, Auto-SDL","RPF strict/loose, ADL allow/deny lists, Auto-SDL

Depends on: D2.2

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q9. Owning squad: Routing & L3.",,"D2 L3, MPLS & Multicast",T2,D2,S2,240h,Routing & L3,2028-12-31
Story,[D2.5] FIB browser with server-side pagination (1M+ routes),"FIB browser with server-side pagination (1M+ routes)

Depends on: D2.2

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q4. Owning squad: Frontend.",,"D2 L3, MPLS & Multicast",T1,D2,S5,200h,Frontend,2027-09-30
Story,"[D2.6] Tools: ping, traceroute, ARP flush","Tools: ping, traceroute, ARP flush

Depends on: D2.2

Estimate: 20 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q3. Owning squad: Control Plane.",,"D2 L3, MPLS & Multicast",T1,D2,S4,160h,Control Plane,2027-06-30
Story,"[D2.7] Classifier/classify tables, IP session redirect, ACL-Based Forwarding (PBR)","Classifier/classify tables, IP session redirect, ACL-Based Forwarding (PBR)

Depends on: D2.2

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q5-Q5. Owning squad: Routing & L3.",,"D2 L3, MPLS & Multicast",T2,D2,S2,360h,Routing & L3,2027-12-31
Story,"[D2.8] MPLS: label operations, LSP, MPLS-over-Ethernet, basic L3VPN, SR-MPLS","MPLS: label operations, LSP, MPLS-over-Ethernet, basic L3VPN, SR-MPLS

Depends on: D3.3

Estimate: 90 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q10. Owning squad: Routing & L3.",,"D2 L3, MPLS & Multicast",T2,D2,S2,720h,Routing & L3,2029-03-31
Story,"[D2.9] Multicast: IGMPv3, PIM via FRR, mfib, BIER","Multicast: IGMPv3, PIM via FRR, mfib, BIER

Depends on: D3.2

Note: BIER has near-zero commercial demand

Estimate: 70 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q10. Owning squad: Routing & L3.",,"D2 L3, MPLS & Multicast",T3,D2,S2,560h,Routing & L3,2029-03-31
Story,"[D3.1] linux-cp / linux-nl hardening: interface pairs, state/MTU sync, VRF mapping, IPv6, full-table performance","linux-cp / linux-nl hardening: interface pairs, state/MTU sync, VRF mapping, IPv6, full-table performance

Depends on: D1.2

Note: CRITICAL PATH - prototype in Q3, not Q5

Estimate: 90 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q4. Owning squad: Routing & L3.",,D3 Dynamic Routing,T1,D3,S2,720h,Routing & L3,2027-09-30
Story,"[D3.2] FRR lifecycle: renderer framework, JSON state readers, safe reload, dry-run","FRR lifecycle: renderer framework, JSON state readers, safe reload, dry-run

Depends on: D3.1

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q4. Owning squad: Routing & L3.",,D3 Dynamic Routing,T1,D3,S2,480h,Routing & L3,2027-09-30
Story,"[D3.3] BGP: core, AFI/SAFI v4/v6, communities, route-maps, prefix-lists, AS-path filters, peer-groups, RR, confederation, graceful restart, BGP Roles (RFC 9234), add-path, VPNv4/VPNv6","BGP: core, AFI/SAFI v4/v6, communities, route-maps, prefix-lists, AS-path filters, peer-groups, RR, confederation, graceful restart, BGP Roles (RFC 9234), add-path, VPNv4/VPNv6

Depends on: D3.2

Estimate: 140 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q5. Owning squad: Routing & L3.",,D3 Dynamic Routing,T1,D3,S2,1120h,Routing & L3,2027-12-31
Story,[D3.4] OSPFv2,"OSPFv2

Depends on: D3.2

Estimate: 55 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q5-Q5. Owning squad: Routing & L3.",,D3 Dynamic Routing,T1,D3,S2,440h,Routing & L3,2027-12-31
Story,[D3.5] OSPFv3,"OSPFv3

Depends on: D3.2

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Routing & L3.",,D3 Dynamic Routing,T2,D3,S2,320h,Routing & L3,2028-09-30
Story,[D3.6] IS-IS,"IS-IS

Depends on: D3.2

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q7. Owning squad: Routing & L3.",,D3 Dynamic Routing,T2,D3,S2,360h,Routing & L3,2028-06-30
Story,[D3.7] RIPv2 / RIPng,"RIPv2 / RIPng

Depends on: D3.2

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Routing & L3.",,D3 Dynamic Routing,T2,D3,S2,200h,Routing & L3,2028-09-30
Story,[D3.8] BFD (native VPP plugin + FRR integration),"BFD (native VPP plugin + FRR integration)

Depends on: D3.2

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q5-Q5. Owning squad: Routing & L3.",,D3 Dynamic Routing,T1,D3,S2,280h,Routing & L3,2027-12-31
Story,[D3.9] Policy-based routing in API/UI,"Policy-based routing in API/UI

Depends on: D2.7

Estimate: 20 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Routing & L3.",,D3 Dynamic Routing,T2,D3,S2,160h,Routing & L3,2028-03-31
Story,[D3.10] Redistribution matrix and route-policy UX,"Redistribution matrix and route-policy UX

Depends on: D3.3

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q5-Q6. Owning squad: Routing & L3.",,D3 Dynamic Routing,T1,D3,S2,240h,Routing & L3,2028-03-31
Story,"[D4.1] NAT44-ED: sessions, pools, twice-NAT, port-forward, 1:1, interface NAT, hairpinning, session helpers/ALGs","NAT44-ED: sessions, pools, twice-NAT, port-forward, 1:1, interface NAT, hairpinning, session helpers/ALGs

Depends on: D2.2

Estimate: 90 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q4. Owning squad: Security & VPN.",,D4 NAT & CGNAT,T1,D4,S3,720h,Security & VPN,2027-09-30
Story,[D4.2] NAT44-EI,"NAT44-EI

Depends on: D4.1

Estimate: 25 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q7. Owning squad: Security & VPN.",,D4 NAT & CGNAT,T2,D4,S3,200h,Security & VPN,2028-06-30
Story,"[D4.3] NAT64, NAT66, NPTv6","NAT64, NAT66, NPTv6

Depends on: D4.1

Estimate: 50 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Security & VPN.",,D4 NAT & CGNAT,T2,D4,S3,400h,Security & VPN,2028-09-30
Story,[D4.4] DET44 deterministic CGNAT + CGNAT logging/IPFIX,"DET44 deterministic CGNAT + CGNAT logging/IPFIX

Depends on: D4.1

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q7. Owning squad: Security & VPN.",,D4 NAT & CGNAT,T2,D4,S3,360h,Security & VPN,2028-06-30
Story,"[D4.5] DS-Lite, MAP-E, MAP-T, LW4o6 BR, 464XLAT","DS-Lite, MAP-E, MAP-T, LW4o6 BR, 464XLAT

Depends on: D4.3

Estimate: 75 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q8. Owning squad: Security & VPN.",,D4 NAT & CGNAT,T2,D4,S3,600h,Security & VPN,2028-09-30
Story,"[D4.6] CNAT: policy 1:1, SNAT/DNAT policy (new in 26.06), load-balanced translation","CNAT: policy 1:1, SNAT/DNAT policy (new in 26.06), load-balanced translation

Depends on: D4.1

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Security & VPN.",,D4 NAT & CGNAT,T2,D4,S3,360h,Security & VPN,2028-09-30
Story,[D4.7] Session browser at 1M+ scale with server-side filter and kill-session,"Session browser at 1M+ scale with server-side filter and kill-session

Depends on: D4.1

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q4. Owning squad: Security & VPN.",,D4 NAT & CGNAT,T1,D4,S3,280h,Security & VPN,2027-09-30
Story,"[D5.1] Object model: addresses, groups, FQDN, services, schedules, zones, tags","Object model: addresses, groups, FQDN, services, schedules, zones, tags

Depends on: D0.8

Estimate: 50 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q5. Owning squad: Control Plane.",,D5 Firewall & ACL,T1,D5,S4,400h,Control Plane,2027-12-31
Story,"[D5.2] ACL plugin: L2 MACIP, L3/L4 stateless and stateful, per-interface in/out, hit counters","ACL plugin: L2 MACIP, L3/L4 stateless and stateful, per-interface in/out, hit counters

Depends on: D5.1

Estimate: 70 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q5-Q5. Owning squad: Security & VPN.",,D5 Firewall & ACL,T1,D5,S3,560h,Security & VPN,2027-12-31
Story,[D5.3] Host/local-in ACL for management-plane protection + nftables host firewall,"Host/local-in ACL for management-plane protection + nftables host firewall

Depends on: D5.2

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Security & VPN.",,D5 Firewall & ACL,T1,D5,S3,240h,Security & VPN,2028-03-31
Story,"[D5.4] Rule editor UI for 100,000 rules (virtualised, CSV bulk, reorder, search)","Rule editor UI for 100,000 rules (virtualised, CSV bulk, reorder, search)

Depends on: D5.2

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Frontend.",,D5 Firewall & ACL,T1,D5,S5,480h,Frontend,2028-03-31
Story,[D5.5] ADL / Auto-SDL integration,"ADL / Auto-SDL integration

Depends on: D5.2

Note: Largely covered by ACLs

Estimate: 15 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q10. Owning squad: Security & VPN.",,D5 Firewall & ACL,T3,D5,S3,120h,Security & VPN,2029-03-31
Story,[D5.6] Stateful policy state synchronisation for HA (TNSR VPF state sync equivalent),"Stateful policy state synchronisation for HA (TNSR VPF state sync equivalent)

Depends on: D9.2

Estimate: 45 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q8-Q8. Owning squad: Security & VPN.",,D5 Firewall & ACL,T2,D5,S3,360h,Security & VPN,2028-09-30
Story,"[D6.1] IPsec core: SA/SPD, tunnel and transport mode, ESP/AH, async crypto, native/ipsecmb/openssl engines, QAT offload","IPsec core: SA/SPD, tunnel and transport mode, ESP/AH, async crypto, native/ipsecmb/openssl engines, QAT offload

Depends on: D1.3

Estimate: 80 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q3. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T1,D6,S3,640h,Security & VPN,2027-06-30
Story,"[D6.2] strongSwan + kernel-vpp/socket-vpp, swanctl.conf renderer, IKEv1/IKEv2, full cipher and DH 1-24/31 matrix, NAT-T, DPD, MOBIKE","strongSwan + kernel-vpp/socket-vpp, swanctl.conf renderer, IKEv1/IKEv2, full cipher and DH 1-24/31 matrix, NAT-T, DPD, MOBIKE

Depends on: D6.1

Estimate: 100 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q3-Q4. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T1,D6,S3,800h,Security & VPN,2027-09-30
Story,[D6.3] Native VPP IKEv2 plugin path + 26.06 crypto enhancements,"Native VPP IKEv2 plugin path + 26.06 crypto enhancements

Depends on: D6.1

Note: Alternative to strongSwan for responder-only cases

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q10. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T2,D6,S3,320h,Security & VPN,2029-03-31
Story,"[D6.4] PKI: CA, CSR, import/export, CRL/OCSP, ACME, expiry alerts, PKCS#11/HSM","PKI: CA, CSR, import/export, CRL/OCSP, ACME, expiry alerts, PKCS#11/HSM

Depends on: D6.2

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q7. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T1,D6,S3,480h,Security & VPN,2028-06-30
Story,[D6.5] WireGuard,"WireGuard

Depends on: D6.1

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q7-Q7. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T1,D6,S3,280h,Security & VPN,2028-06-30
Story,"[D6.6] Tunnels: GRE (L2/L3), IPIP, VXLAN, VXLAN-GPE, GTP-U, L2TPv3, PPPoE, Tunnel Infra, Packet Vector Tunnel","Tunnels: GRE (L2/L3), IPIP, VXLAN, VXLAN-GPE, GTP-U, L2TPv3, PPPoE, Tunnel Infra, Packet Vector Tunnel

Depends on: D2.2

Note: GTP-U/L2TPv3/PPPoE are T3-value; schedule last

Estimate: 90 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q7. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T1,D6,S3,720h,Security & VPN,2028-06-30
Story,"[D6.7] SRv6: core, network programming, service chaining proxies, SRv6-mobile GTP functions","SRv6: core, network programming, service chaining proxies, SRv6-mobile GTP functions

Depends on: D2.8

Note: Only large mobile operators need this

Estimate: 110 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q10. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T3,D6,S3,880h,Security & VPN,2029-03-31
Story,[D6.8] LISP and LISP-GPE,"LISP and LISP-GPE

Depends on: D2.2

Note: Effectively dead technology

Estimate: 40 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q10-Q10. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T3,D6,S3,320h,Security & VPN,2029-03-31
Story,[D6.9] Remote-access VPN: IKEv2 + EAP + client pools (optional OpenVPN/SSL-VPN),"Remote-access VPN: IKEv2 + EAP + client pools (optional OpenVPN/SSL-VPN)

Depends on: D6.4

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q9-Q9. Owning squad: Security & VPN.",,D6 VPN & Tunnels,T2,D6,S3,480h,Security & VPN,2028-12-31
Story,"[D6.10] Tunnel dashboards, SA/SPI inspection, rekey history, per-tunnel telemetry","Tunnel dashboards, SA/SPI inspection, rekey history, per-tunnel telemetry

Depends on: D6.2

Estimate: 35 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q6-Q6. Owning squad: Frontend.",,D6 VPN & Tunnels,T1,D6,S5,280h,Frontend,2028-03-31
Story,"[D7.1] Kea DHCPv4/v6 server, reservations, option sets, lease DB and UI","Kea DHCPv4/v6 server, reservations, option sets, lease DB and UI

Depends on: D1.3

Estimate: 60 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q5. Owning squad: Control Plane.",,"D7 Services, QoS & Host Stack",T1,D7,S4,480h,Control Plane,2027-12-31
Story,[D7.2] DHCP relay/proxy (VPP plugin) + DHCP client,"DHCP relay/proxy (VPP plugin) + DHCP client

Depends on: D7.1

Estimate: 30 net person-days (includes tests, docs, UI, API and audit - the nine DoD conditions).
Planned window: Q4-Q5. Owning squad: Control Plane.",,"D7 Services, QoS & Host Stack",T1,D7,S4,240h,Control Plane,2027-12-31
