ID,Name,Work,Duration,Start,Finish,Resource Names,Depends On (WBS ID),Tier,Release,Notes
D6.2,"strongSwan + kernel-vpp/socket-vpp, swanctl.conf renderer, IKEv1/IKEv2, full cipher and DH 1-24/31 matrix, NAT-T, DPD, MOBIKE",800h,183d,2027-04-01,2027-09-30,Security & VPN,D6.1,T1,R0.5 Beta (MVP),
D6.3,Native VPP IKEv2 plugin path + 26.06 crypto enhancements,320h,90d,2029-01-01,2029-03-31,Security & VPN,D6.1,T2,R2.0 GA-3,Alternative to strongSwan for responder-only cases
D6.4,"PKI: CA, CSR, import/export, CRL/OCSP, ACME, expiry alerts, PKCS#11/HSM",480h,91d,2028-04-01,2028-06-30,Security & VPN,D6.2,T1,R1.5 GA-2,
D6.5,WireGuard,280h,91d,2028-04-01,2028-06-30,Security & VPN,D6.1,T1,R1.5 GA-2,
D6.6,"Tunnels: GRE (L2/L3), IPIP, VXLAN, VXLAN-GPE, GTP-U, L2TPv3, PPPoE, Tunnel Infra, Packet Vector Tunnel",720h,366d,2027-07-01,2028-06-30,Security & VPN,D2.2,T1,R1.5 GA-2,GTP-U/L2TPv3/PPPoE are T3-value; schedule last
D6.7,"SRv6: core, network programming, service chaining proxies, SRv6-mobile GTP functions",880h,182d,2028-10-01,2029-03-31,Security & VPN,D2.8,T3,R2.0 GA-3,Only large mobile operators need this
D6.8,LISP and LISP-GPE,320h,90d,2029-01-01,2029-03-31,Security & VPN,D2.2,T3,R2.0 GA-3,Effectively dead technology
D6.9,Remote-access VPN: IKEv2 + EAP + client pools (optional OpenVPN/SSL-VPN),480h,92d,2028-10-01,2028-12-31,Security & VPN,D6.4,T2,R2.0 GA-3,
D6.10,"Tunnel dashboards, SA/SPI inspection, rekey history, per-tunnel telemetry",280h,91d,2028-01-01,2028-03-31,Frontend,D6.2,T1,R1.0 GA-1,
D7.1,"Kea DHCPv4/v6 server, reservations, option sets, lease DB and UI",480h,184d,2027-07-01,2027-12-31,Control Plane,D1.3,T1,R1.0 GA-1,
D7.2,DHCP relay/proxy (VPP plugin) + DHCP client,240h,184d,2027-07-01,2027-12-31,Control Plane,D7.1,T1,R1.0 GA-1,
D7.3,DNS: Unbound resolver/forwarder/DNSSEC/views + VPP caching DNS plugin,400h,184d,2027-07-01,2027-12-31,Control Plane,D1.3,T1,R1.0 GA-1,
D7.4,"NTP via chrony (client/server), optional PTP",200h,92d,2027-10-01,2027-12-31,Control Plane,D0.9,T1,R1.0 GA-1,
D7.5,SNMP v2c/v3 via net-snmp + private MIB,360h,91d,2028-01-01,2028-03-31,Control Plane,D0.12,T2,R1.0 GA-1,
D7.6,IPFIX/NetFlow (flowprobe) + sFlow,400h,92d,2028-07-01,2028-09-30,Dataplane & Agent,D0.12,T2,R1.5 GA-2,
D7.7,Syslog export + log explorer,280h,92d,2028-10-01,2028-12-31,Control Plane,D0.12,T1,R2.0 GA-3,
D7.8,"QoS: policer, shaper, QoS record/map/mark, DSCP/dot1p, hierarchical HQoS, per-interface queues",680h,183d,2028-04-01,2028-09-30,Dataplane & Agent,D1.2,T2,R1.5 GA-2,
D7.9,Load Balancer plugin (GRE/NAT/L3DSR/maglev),320h,90d,2029-01-01,2029-03-31,Dataplane & Agent,D4.1,T3,R2.0 GA-3,Solved outside the product by HAProxy/nginx
D7.10,"Host Stack: session layer, TCP/UDP tuning, VCL, TLS engines, QUIC/quicly, HTTP static server, HTTP/3 CONNECT + UDP proxying, SRTP, HSI",1040h,181d,2029-01-01,2029-06-30,Dataplane & Agent,D0.7,T3,R2.5 GA-Final,No router customer asks for this
D7.11,Packet generator (PG) + pcap tooling in UI,200h,91d,2028-04-01,2028-06-30,Dataplane & Agent,D8.2,T2,R1.5 GA-2,
D8.1,"Dashboard, charts, per-worker CPU, queue/buffer stats, buffers monitoring, buffer metadata tracker",480h,366d,2027-04-01,2028-03-31,Frontend,D0.12,T1,R1.0 GA-1,
D8.2,"Packet capture: pcap rx/tx/drop, BPF Trace Filter, trace node, Trace Path plugin (new 26.06), G2 export",440h,183d,2028-04-01,2028-09-30,Dataplane & Agent,D0.7,T1,R1.5 GA-2,
D8.3,Prometheus exporter (VPP prom plugin + own metrics) + Grafana dashboards,280h,91d,2028-01-01,2028-03-31,Control Plane,D0.12,T1,R1.0 GA-1,
D8.4,"Event and alarm engine, thresholds, email/webhook/SNMP traps",360h,184d,2027-07-01,2027-12-31,Control Plane,D0.12,T1,R1.0 GA-1,
D8.5,"Backup/restore, scheduled export, config templates, bulk provisioning",320h,92d,2027-10-01,2027-12-31,Control Plane,D0.8,T1,R1.0 GA-1,
D8.6,Support bundle / sysdump,160h,92d,2028-10-01,2028-12-31,Platform & Release,D0.12,T1,R2.0 GA-3,
D8.7,Upgrade UI and staged rollout,200h,91d,2028-01-01,2028-03-31,Frontend,D0.5,T1,R1.0 GA-1,
D8.8,RESTCONF/NETCONF compatibility layer + YANG models,720h,183d,2028-04-01,2028-09-30,Control Plane,D0.8,T2,R1.5 GA-2,Needed for TNSR API parity
D8.9,"Terraform provider, Ansible collection, Python SDK",440h,90d,2029-01-01,2029-03-31,Control Plane,D0.8,T2,R2.0 GA-3,
D9.1,VRRPv3 (native VPP plugin) + keepalived path,360h,91d,2028-01-01,2028-03-31,Dataplane & Agent,D1.3,T1,R1.0 GA-1,
D9.2,"Config synchronisation between peers, cluster membership",400h,182d,2028-01-01,2028-06-30,Control Plane,D0.8,T1,R1.5 GA-2,
D9.3,State sync: NAT/ACL sessions and IPsec SAs,480h,92d,2028-07-01,2028-09-30,Security & VPN,D9.2,T2,R1.5 GA-2,
D9.4,Failover test automation and convergence tuning,240h,92d,2028-07-01,2028-09-30,QA / Lab,D9.3,T1,R1.5 GA-2,
D9.5,Cluster view in UI,200h,92d,2028-07-01,2028-09-30,Frontend,D9.2,T2,R1.5 GA-2,
D10.1,"VDOM/tenant model, per-tenant RBAC and API scoping",560h,181d,2029-01-01,2029-06-30,Control Plane,D0.9,T2,R2.5 GA-Final,Changes the data model - decide in Q1 whether it is in scope
D10.2,"AAA: RADIUS, TACACS+, LDAP, SAML, OIDC + MFA",440h,92d,2028-10-01,2028-12-31,Control Plane,D0.9,T2,R2.0 GA-3,
D11.1,"Cloud images AWS/Azure/GCP + marketplace, cloud-init, ENA/Hyper-V drivers, cloud routing integration",720h,181d,2029-01-01,2029-06-30,Platform & Release,D0.3,T2,R2.5 GA-Final,
D11.2,KVM/VMware/Hyper-V/Proxmox images + SR-IOV and PCI passthrough,320h,92d,2028-10-01,2028-12-31,Platform & Release,D0.3,T1,R2.0 GA-3,
D12.1,"CIS hardening, secure boot, package signing, offline (air-gapped) update bundle",480h,91d,2029-04-01,2029-06-30,Platform & Release,D0.4,T1,R2.5 GA-Final,
D12.2,Licensing and entitlement enforcement,320h,91d,2029-04-01,2029-06-30,Control Plane,D0.9,T1,R2.5 GA-Final,
D12.3,Independent penetration test + remediation,360h,92d,2029-07-01,2029-09-30,QA / Lab,D12.1,T1,R2.5 GA-Final,
D12.4,Full user documentation (~400 pages) + CLI reference + API reference,960h,365d,2028-10-01,2029-09-30,Technical writer,,T1,R2.5 GA-Final,Technical writer from M12
D12.5,"QA: regression suite growth, nightly topology, perf CI, interop matrix (Cisco/Juniper/FortiGate/strongSwan/AWS VGW)",1280h,823d,2027-07-01,2029-09-30,QA / Lab,D0.13,T1,R2.5 GA-Final,Continuous from Q4 to GA
D12.6,"Soak and chaos: kill -9, link flap, 72h at line rate",400h,183d,2029-04-01,2029-09-30,QA / Lab,D12.5,T1,R2.5 GA-Final,
D12.7,Certification preparation (Common Criteria / local standards),480h,183d,2029-04-01,2029-09-30,Platform & Release,D12.1,T2,R2.5 GA-Final,Get the requirement list before end of Q2
